case_id,hsa-mir-155,hsa-mir-146a,hsa-mir-21,hsa-mir-150,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-200c,hsa-mir-200a,hsa-mir-200b,hsa-mir-34a,hsa-mir-23a,hsa-mir-23b,hsa-mir-27a,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-10a,hsa-mir-10b,hsa-mir-126,hsa-mir-181a-1,hsa-mir-181a-2,hsa-mir-181b-1,hsa-mir-181b-2,hsa-mir-100,hsa-mir-101-1,hsa-mir-101-2,hsa-let-7a-1,hsa-let-7a-2,hsa-let-7a-3,hsa-let-7b,hsa-let-7c,hsa-let-7d,hsa-let-7e,hsa-let-7f-1,hsa-let-7f-2,hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-19b-1,hsa-mir-19b-2,hsa-mir-20a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-124-1,hsa-mir-124-2,hsa-mir-124-3,hsa-mir-223,hsa-mir-30a,hsa-mir-30b,hsa-mir-30c-1,hsa-mir-30c-2,hsa-mir-30d,hsa-mir-30e,num_patches,file
TCGA-OR-A5J1,5.0454,3.538,14.0943,6.4368,10.2018,3.538,4.0035,2.4854,2.4854,8.7171,10.3431,8.9884,7.8284,8.4346,11.4797,8.858,9.0827,9.6155,15.0816,18.1603,11.8507,11.5794,9.0912,9.119,4.2107,8.2177,12.9716,6.0811,13.7191,14.7085,13.7432,13.893,10.9411,10.7518,11.3898,5.56,14.0363,8.3589,2.2374,4.5527,2.5303,6.1546,7.4255,8.6225,12.281,0.0,0.0,0.0,6.3267,13.7162,8.6545,0.7721,10.669,12.9341,14.1531,No WSI Data,No WSI Data
TCGA-OR-A5J2,5.8157,3.9142,16.203,7.0399,10.9171,4.7179,6.4351,1.784,1.1832,5.9055,13.0303,9.3711,10.55,8.9258,11.8101,8.7141,8.8897,9.7461,15.5841,18.6028,12.6353,12.4316,10.6385,9.2475,4.4346,12.7585,12.9429,5.4404,12.1173,13.1036,12.1685,13.4529,10.6931,10.2969,10.4254,3.9142,11.4669,7.9678,1.8243,4.4796,1.9019,5.7253,7.109,7.4202,11.8061,0.0,0.0,0.0,5.5194,14.2649,6.9099,0.5741,9.1379,12.1079,14.0902,No WSI Data,No WSI Data
TCGA-OR-A5J3,4.6913,2.3524,17.2832,3.6025,8.8075,3.9875,3.7977,2.0457,1.3586,9.4478,10.2203,8.423,8.6674,8.5787,12.094,9.5664,9.6756,11.1065,13.895,16.555,11.6583,9.95,8.0636,8.052,2.5093,11.0158,12.8574,5.3047,12.7824,13.774,12.7869,13.3797,9.539,8.6436,11.6318,5.5829,13.6988,7.6612,1.6558,3.7565,2.4066,5.5592,6.3807,8.3583,11.9433,0.0,0.0,0.0,5.0042,12.7068,7.902,0.9839,8.9031,12.584,12.8873,No WSI Data,No WSI Data
TCGA-OR-A5J4,5.8689,2.8875,15.0171,4.4141,8.9897,4.1922,4.254,0.7137,0.2141,6.393,10.4647,9.0019,9.2747,9.2235,10.4108,7.0396,7.1719,8.7356,14.1635,17.1674,11.7606,10.8235,10.3903,8.9552,3.9598,9.4771,12.3837,5.3176,13.4318,14.439,13.4483,13.823,11.931,10.897,11.4816,6.4229,14.2267,7.4492,2.0704,3.7181,2.3674,5.5765,6.1284,7.5756,11.7422,1.4647,1.3785,0.9708,6.1218,13.4232,8.9403,0.9708,9.6439,12.5388,13.3243,No WSI Data,No WSI Data
TCGA-OR-A5J5,4.8227,2.7953,17.5546,3.7404,8.9596,2.7615,5.1443,1.96,1.7693,7.6494,11.07,8.823,9.0291,9.0996,11.7573,9.3146,9.3682,8.4149,12.9023,17.4841,11.4642,11.0287,9.2514,8.7983,4.1194,7.4439,12.4535,6.7607,13.4695,14.462,13.4879,13.5192,8.8009,10.3009,11.4602,6.6703,14.6299,7.3897,1.29,4.1845,1.6997,6.0487,6.0833,7.7817,11.0459,1.0869,0.2149,0.5673,4.0511,13.2499,8.7905,0.5673,10.1247,13.0135,13.1287,36.0,TCGA-OR-A5J5.pt
TCGA-OR-A5J6,4.189,3.9076,14.9015,7.6864,10.0944,4.962,5.2026,0.8545,0.8545,6.9647,10.7412,9.6882,8.9244,9.5353,13.0862,9.9253,10.1198,11.4202,13.6386,18.2943,12.1364,11.4684,6.7648,8.2275,3.1828,7.4535,13.9776,6.3206,13.2215,14.2209,13.2471,13.4734,12.5367,9.8823,12.6022,5.3623,13.9112,7.4267,1.9866,3.1828,1.0548,5.436,6.4901,8.1351,11.9878,0.0,0.3441,0.0,6.8071,14.7451,8.9747,1.3875,9.5478,12.7441,13.432,No WSI Data,No WSI Data
TCGA-OR-A5J7,5.4538,2.0609,15.1863,3.9117,5.3292,1.2386,3.514,0.0,0.7483,7.0317,10.7046,9.4198,8.9827,9.8815,11.776,8.0646,8.2413,9.3352,14.9052,17.455,11.934,11.5439,10.956,9.4663,4.8173,6.9255,12.9035,5.1101,13.0161,14.0031,13.0125,13.0455,7.2958,10.7507,11.4644,4.9395,14.1248,7.4884,2.4678,3.6242,1.0929,5.2455,6.4523,7.5314,11.3266,0.0,0.0,0.0,7.133,15.6373,8.2041,1.492,10.251,12.8378,13.7112,2000.0,TCGA-OR-A5J7.pt
TCGA-OR-A5J8,8.5955,6.2556,17.8633,7.9589,10.8388,4.5958,6.0447,0.3408,1.2217,7.8023,11.8614,8.7712,9.896,8.8566,12.5377,9.7819,9.7836,7.771,15.2125,17.8744,12.9139,12.1337,11.1492,9.6612,5.6751,11.7456,12.5244,5.6675,12.5846,13.576,12.6172,12.7214,11.6245,11.0494,12.0357,5.5738,13.8481,8.8813,4.1742,5.5738,2.5351,7.555,7.9834,9.2829,13.138,0.0,0.0,0.0,9.0394,13.4137,7.9449,0.3408,9.8675,11.5461,13.31,219.0,TCGA-OR-A5J8.pt
TCGA-OR-A5J9,4.579,1.5762,14.0071,4.9415,10.258,4.3333,1.4655,0.5265,0.7317,8.1596,11.8883,8.1372,10.0275,8.1552,12.2332,8.2364,8.3911,9.7375,14.2147,17.4317,12.2562,12.2832,10.0014,10.0333,4.9207,9.4767,13.8676,5.2644,14.0098,15.0144,14.027,13.8129,11.4811,10.7799,13.95,6.4699,15.2874,9.2813,2.3741,4.5657,2.5471,6.6389,8.2417,8.9759,12.5473,0.5265,0.2871,0.7317,5.4502,13.5647,8.7107,1.5762,9.6493,13.6684,13.2686,No WSI Data,No WSI Data
TCGA-OR-A5JA,5.9336,2.9085,16.2774,4.7928,8.1779,3.205,5.487,1.5281,1.6113,8.8568,11.5839,9.2995,10.4945,10.0212,13.0013,9.5181,9.6507,10.1853,14.6225,16.9018,11.8985,11.6496,10.3275,9.6155,4.6817,9.0355,13.0862,5.9416,11.819,12.7952,11.8386,13.1046,9.4388,10.0436,10.2658,4.5613,11.9056,8.7293,3.004,5.1468,2.6179,6.7895,7.5757,8.6117,12.6335,0.2281,0.0,0.0,6.2353,13.5288,8.924,1.0198,9.5939,12.9814,13.8052,1816.0,TCGA-OR-A5JA.pt
