case_id,PECAM1|CD31,ITGA2|CD49b,PDCD4|PDCD4,STAT3|STAT3_pY705,STAT5A|STAT5-alpha,FOXO3|FOXO3a,FOXO3|FOXO3a_pS318_S321,NFKB1|NF-kB-p65_pS536,JUN|c-Jun_pS73,AKT1S1|PRAS40_pT246,FRAP1|mTOR,FRAP1|mTOR_pS2448,EIF4EBP1|4E-BP1_pS65,PRKCA |PKC-alpha_pS657,PRKCD|PKC-delta_pS664,PKC|PKC-pan_BetaII_pS660,RPS6|S6,RPS6|S6_pS235_S236,RPS6|S6_pS240_S244,RPS6KB1|p70S6K,RPS6KB1|p70S6K_pT389,RPS6KA1|p90RSK,RPS6KA1|p90RSK_pT359_S363,MAPK1|ERK2,MAPK14|p38,MAPK14|p38_pT180_Y182,MAPK9|JNK2,MAPK8|JNK_pT183_pY185,SRC|Src,SRC|Src_pY416,SRC|Src_pY527,SYK|Syk,TP53BP1|53BP1,TP53|p53,CDKN1A|p21,CDKN1B|p27,CDKN1B|p27_pT157,CDKN1B|p27_pT198,ERBB2|HER2,ERBB2|HER2_pY1248,ERBB3|HER3,ERBB3|HER3_pY1289,RBM15|RBM15,RB1|Rb_pS807_S811,CCND1|Cyclin_D1,CCNE1|Cyclin_E1,BAD|Bad_pS112,BAX|Bax,BCL2|Bcl-2,BCL2L1|Bcl-xL,BCL2L11|Bim,CASP7|Caspase-7_cleavedD198,ACACA|ACC1,FASN|FASN,KDR|VEGFR2,EGFR|EGFR,EGFR|EGFR_pY1068,EGFR|EGFR_pY1173,ATM|ATM,CHEK1|Chk1,CHEK1|Chk1_pS345,CHEK2|Chk2,CHEK2|Chk2_pT68,BECN1|Beclin,XRCC5|Ku80,tcell_signaling_score,stat_signaling_score,nfkb_signaling_score,pi3k_akt_pathway_score,mapk_pathway_score,num_patches,file
TCGA-OR-A5J2,0.3076,0.1111,-0.6059,0.5653,0.1865,0.2534,-0.1086,0.1327,-0.0989,-0.3037,-0.1562,-0.1958,-0.1233,-1.6366,0.0081,-0.3555,-0.1822,-0.305,-0.2334,-0.0895,-0.0325,-0.3441,0.1541,0.4569,0.3843,-0.6529,-0.1845,-0.0003,0.2083,-0.1239,-0.0194,-0.278,-0.1804,0.0161,-0.5814,0.1534,0.0243,0.0652,0.1302,-0.0485,-0.3327,-0.0312,-0.0642,-0.2179,0.1507,-0.6675,-0.2513,-0.2722,0.0994,0.6849,0.8877,0.2712,-0.2933,-0.1362,-0.2683,-0.3742,-0.2492,-0.0773,-0.1289,-0.0121,-0.3343,-0.1972,0.1481,0.126,0.0171,-0.06240000000000001,0.3759,0.1327,-0.2711142857142857,0.000699999999999983,No WSI Data,No WSI Data
TCGA-OR-A5J3,-0.0997,0.0783,0.4813,0.5368,-0.53,-0.1932,0.0157,0.4755,0.2745,0.3911,-0.0827,0.433,0.1878,0.027,-0.0743,0.8048,0.362,1.4759,0.7643,0.2097,-0.1353,0.5672,0.2498,-0.1797,0.0536,0.1096,0.013,-0.1713,-0.0193,0.0211,-0.1198,-0.2223,-0.1316,-0.211,0.5155,-0.2905,-0.0395,0.0011,0.0233,0.0439,0.1273,0.0026,0.0253,0.1528,-0.1896,-0.3509,0.2448,0.2679,-0.1828,-0.4068,-0.2248,-0.0844,0.576,0.7563,0.1255,0.4336,-0.004,-0.1017,0.3284,-0.4028,-0.0669,0.0521,0.0224,-0.0011,-0.0514,0.1533,0.003400000000000014,0.4755,0.37002142857142856,-0.034960000000000005,No WSI Data,No WSI Data
TCGA-OR-A5J6,0.7536,0.0139,-0.2748,0.4438,-0.3179,0.9107,0.2665,0.12,0.3497,-0.2914,-0.5533,0.3777,-0.2615,1.2359,0.7167,-0.0142,-0.535,0.662,0.4419,-0.4869,0.9384,0.0102,0.5329,-0.4797,-0.5725,-0.3634,-0.4059,0.378,-0.544,0.5553,0.0599,-0.0917,-0.8607,0.9322,-0.6327,-0.1505,0.2781,0.1038,0.1178,0.847,0.4308,0.0354,-0.8172,0.289,-0.1656,-0.6815,0.1221,-0.2611,0.6217,-0.6466,0.2862,0.3264,-0.6746,-0.2351,0.4235,-0.1017,1.0382,-0.0848,-0.0467,0.7052,0.1293,-0.094,0.5071,0.1326,0.0006,0.16423333333333337,0.06294999999999998,0.12,0.1981,-0.28870000000000007,No WSI Data,No WSI Data
TCGA-OR-A5J7,0.0148,0.0416,-0.3152,-0.1885,-0.481,-0.04,0.2387,0.6674,0.1873,-0.0296,0.2066,0.3752,-0.1,0.3169,-0.1044,-0.2117,-0.0196,0.4568,0.348,-0.0313,0.155,-0.0229,0.2431,-0.3508,-0.1064,-0.1561,0.0051,0.0389,-0.3719,-0.137,0.2027,-0.3766,-0.7428,0.145,-0.7602,-0.0153,-0.0412,0.1603,-0.3176,0.0613,0.1797,0.0241,0.1956,0.2279,0.0653,0.1479,0.6273,-0.3589,-0.0628,-0.2388,0.0072,0.0556,1.2616,0.987,0.1952,0.2582,0.0935,-0.0465,-0.135,0.0758,-0.0503,-0.1186,-0.0631,0.01,-0.1506,-0.08626666666666666,-0.33475,0.6674,0.11300714285714286,-0.11386,2000.0,TCGA-OR-A5J7.pt
TCGA-OR-A5J8,-0.467,-0.8173,0.3729,0.3261,-0.2564,0.1286,-0.1237,0.528,0.9919,0.0754,0.0167,0.1879,-0.0235,0.0266,-0.338,-0.0467,0.0658,1.5578,0.8511,-0.017,0.0368,-0.6283,0.2963,0.0893,-0.1106,0.9024,-1.0915,0.247,-0.2926,0.247,1.8345,1.4415,-0.0802,-0.5842,-0.8034,-0.6499,-0.1742,0.0346,0.5259,0.2548,0.3478,0.012,0.0311,1.165,0.3208,-1.072,0.4197,-0.3882,0.2607,-0.0743,0.1154,0.5037,-0.5733,-0.7613,-0.3335,-0.1638,-0.1088,-0.09,0.0099,0.2162,-0.3255,-0.038,0.3549,-0.2008,-0.4492,-0.3038,0.03484999999999999,0.528,0.14720714285714287,0.007320000000000016,219.0,TCGA-OR-A5J8.pt
TCGA-OR-A5J9,0.124,-0.3164,0.1578,0.6863,0.101,-0.0761,0.1054,-0.2561,0.0885,0.0381,0.3269,-0.1098,0.2523,-0.5746,0.0943,-0.5123,-0.0474,-0.0849,-0.208,0.1761,-0.1671,0.7104,0.4395,-0.2406,0.0962,-0.3629,-0.3563,-0.0661,0.3416,-0.2556,0.1175,-0.6106,0.6516,-0.0917,-0.4395,-0.2379,0.0064,0.1733,0.0711,-0.1963,-0.1687,-0.1644,0.6897,-0.0595,-0.2223,0.3519,0.0949,-0.208,0.0503,0.1624,0.0827,0.1475,-0.4155,0.5267,-0.8077,-0.4017,-0.4495,-0.0457,-0.1227,-0.1383,-0.1299,-0.2897,0.0075,0.162,0.0788,-0.01153333333333334,0.39365,-0.2561,0.023821428571428573,-0.18594000000000005,No WSI Data,No WSI Data
TCGA-OR-A5JA,-0.0633,-0.1399,1.0524,0.2787,-0.8392,-0.1262,0.0147,-0.1426,0.6172,0.1157,0.0692,0.3719,0.0017,1.4856,0.5867,0.7228,0.2853,1.0432,0.8689,-0.1364,0.2108,-0.2697,-0.0392,-0.0771,0.1053,0.6031,-0.1467,0.0747,-0.503,0.2824,-0.2092,-0.5896,0.8982,-0.151,0.2233,-0.099,-0.066,-0.0481,0.1699,0.6624,-0.1386,0.1099,0.3891,0.9102,-0.3086,0.7952,0.4748,-0.0998,-0.1115,0.0318,0.2364,-0.131,0.5577,0.828,0.9456,0.7846,1.2527,-0.0013,-0.533,-0.0176,0.1393,0.1614,0.0227,-0.0647,0.0179,0.28306666666666663,-0.28025,-0.1426,0.37975000000000003,0.11186,1816.0,TCGA-OR-A5JA.pt
TCGA-OR-A5JP,0.0608,-0.3449,-0.8369,0.0134,-0.4801,0.138,0.388,0.1199,0.1266,0.2259,0.4237,0.3624,-0.0655,1.2279,0.334,0.0287,0.4585,0.015,0.2116,0.1089,0.1605,-0.2725,0.0965,-0.1246,-0.2207,0.2888,-0.0793,-0.199,-0.2366,0.0614,1.44,-0.6225,-0.3597,0.0832,0.6041,-0.4463,-0.0476,-0.0066,-0.1183,0.0858,-0.331,-0.1508,0.7027,0.0963,-0.1109,0.2241,0.4837,-0.0978,-0.1546,-0.1757,-0.4277,-0.0017,0.0893,2.1563,-0.7499,-0.4853,0.2058,-0.0886,-0.3093,0.1001,-0.0349,0.0028,-0.0614,-0.0617,-0.0377,-0.37366666666666665,-0.23335,0.1199,0.23682857142857142,-0.06695999999999999,No WSI Data,No WSI Data
TCGA-OR-A5JR,0.2374,-0.0415,-0.3502,-0.1095,0.4807,0.2612,-0.0884,0.168,-0.0347,0.129,-0.014,0.2953,-0.1777,2.2272,1.4701,1.454,-0.2099,-0.1791,0.051,-0.1709,0.7438,-0.5859,0.0617,-0.6467,-0.3278,-0.1327,0.0888,-0.1344,-0.1978,-0.0269,-0.0746,0.1948,0.2071,0.1355,0.4137,-0.0907,0.0129,-0.0505,0.0027,0.1039,-0.3021,0.0472,-0.3376,0.1223,0.066,-0.724,0.0739,0.0061,0.1562,0.0091,-0.0029,-0.0077,-0.0721,-0.3963,-0.1308,-0.2013,-0.0028,-0.0599,-0.2761,0.0823,0.1445,-0.0428,0.0183,0.0585,-0.4383,-0.05143333333333333,0.18560000000000001,0.168,0.3639,-0.23056000000000004,No WSI Data,No WSI Data
TCGA-OR-A5JS,-0.0915,0.5739,0.0841,-0.3972,-1.3422,-0.2292,-0.0361,-0.3019,-0.5602,-0.2162,-0.235,-0.1229,0.0297,-1.1097,-0.3127,-0.5479,0.4499,0.4414,0.3173,-0.2677,-0.5025,0.4988,-0.1223,1.0906,-0.24,-1.1118,0.0541,-0.2516,0.4952,0.096,0.2043,-0.7936,0.4339,-0.2955,0.0098,0.406,0.0355,0.0083,-0.0457,-0.2303,-0.4747,0.1936,-0.8516,-0.7053,0.4853,0.6476,0.3301,0.4617,-0.2613,-0.0377,0.2217,0.0044,-0.3966,0.5137,0.8316,-0.0027,-0.4748,0.0606,-0.2482,-0.1492,-0.2854,-0.0067,-0.104,-0.1124,-0.0722,0.1888333333333333,-0.8697,-0.3019,-0.12141428571428572,-0.09173999999999996,No WSI Data,No WSI Data
